country_iso3,country_name,date,country_no2_index,n_cities_total,n_cities_with_value,average_data_coverage
PHL,Philippines,2022-02-02,1.6461083069774052e-5,21,21,0.24105820105820105
PHL,Philippines,2022-02-03,1.644844935643509e-5,21,21,0.15936507936507935
PHL,Philippines,2022-02-04,1.6402383350458487e-5,21,21,0.1834920634920635
PHL,Philippines,2022-02-05,1.6294892976182622e-5,21,21,0.2831746031746032
PHL,Philippines,2022-02-06,1.580883785885443e-5,21,21,0.44994708994708993
PHL,Philippines,2022-02-07,1.5644709440533085e-5,21,21,0.27132275132275135
PHL,Philippines,2022-02-08,1.530456546871466e-5,21,21,0.23746031746031748
PHL,Philippines,2022-02-09,1.4933780528839564e-5,21,21,0.2920634920634921
PHL,Philippines,2022-02-10,1.4694492865493337e-5,21,21,0.2662433862433862
PHL,Philippines,2022-02-11,1.4496071712856883e-5,21,21,0.2541798941798942
PHL,Philippines,2022-02-12,1.4299965044749428e-5,21,21,0.24867724867724866
PHL,Philippines,2022-02-13,1.4129454017587042e-5,21,21,0.16507936507936508
PHL,Philippines,2022-02-14,1.397792515992087e-5,21,21,0.37883597883597886
PHL,Philippines,2022-02-15,1.3929887257880476e-5,21,21,0.42455026455026457
PHL,Philippines,2022-02-16,1.4034667502335989e-5,21,21,0.5623280423280423
PHL,Philippines,2022-02-17,1.389976772877967e-5,21,21,0.42433862433862435
PHL,Philippines,2022-02-18,1.3905369444098848e-5,21,21,0.2715343915343916
PHL,Philippines,2022-02-19,1.3854115213185256e-5,21,21,0.27386243386243386
PHL,Philippines,2022-02-20,1.3802225183555856e-5,21,21,0.13354497354497355
PHL,Philippines,2022-02-21,1.377871751350521e-5,21,21,0.0217989417989418
PHL,Philippines,2022-02-22,1.3690471969452479e-5,21,21,0.05375661375661375
PHL,Philippines,2022-02-23,1.3361045248479102e-5,21,21,0.16656084656084655
PHL,Philippines,2022-02-24,1.3292158535720624e-5,21,21,0.4452910052910053
PHL,Philippines,2022-02-25,1.3025951590880643e-5,21,21,0.1832804232804233
PHL,Philippines,2022-02-26,1.2726004682531713e-5,21,21,0.2922751322751323
PHL,Philippines,2022-02-27,1.2611424023138785e-5,21,21,0.3166137566137566
PHL,Philippines,2022-02-28,1.2422273000056286e-5,21,21,0.37058201058201057
PHL,Philippines,2022-03-01,1.2560216000317635e-5,21,21,0.5191534391534391
PHL,Philippines,2022-03-02,1.2507778372948069e-5,21,21,0.34074074074074073
PHL,Philippines,2022-03-03,1.235254396561248e-5,21,21,0.31153439153439155
PHL,Philippines,2022-03-04,1.239917058950822e-5,21,21,0.46095238095238095
PHL,Philippines,2022-03-05,1.2421874349762919e-5,21,21,0.33375661375661375
PHL,Philippines,2022-03-06,1.2735970988992226e-5,21,21,0.346031746031746
PHL,Philippines,2022-03-07,1.2768839291076686e-5,21,21,0.34074074074074073
PHL,Philippines,2022-03-08,1.2667245707366141e-5,21,21,0.21587301587301586
PHL,Philippines,2022-03-09,1.296634434771792e-5,21,21,0.17502645502645506
PHL,Philippines,2022-03-10,1.3183275855466737e-5,21,21,0.3172486772486773
PHL,Philippines,2022-03-11,1.332857255939389e-5,21,21,0.25947089947089946
PHL,Philippines,2022-03-12,1.3565606151596693e-5,21,21,0.43851851851851853
PHL,Philippines,2022-03-13,1.3835413848425764e-5,21,21,0.25164021164021166
